DOI,Query,PII,Title,Journal
10.1016/j.conbuildmat.2011.12.027, ,None,Performance of edgewise loaded wood based panels and their I-beam components,Construction and Building Materials
10.1016/j.conbuildmat.2013.11.025, ,None,Development of wood-crete from treated sawdust,Construction and Building Materials
10.1016/j.conbuildmat.2013.05.059, ,None,Effect of steel fiber addition and aspect ratio on bond strength of cold-bonded fly ash lightweight aggregate concretes,Construction and Building Materials
10.1016/j.conbuildmat.2014.09.026, ,None,Corrosion behavior of steel reinforcement in concrete exposed to composite chloride–sulfate environment,Construction and Building Materials
10.1016/j.conbuildmat.2013.06.050, ,None,Effect of coatings on moisture and salt transfer phenomena of plasters,Construction and Building Materials
10.1016/j.conbuildmat.2009.08.040, ,None,Use of concrete road recycled aggregates for Roller Compacted Concrete,Construction and Building Materials
10.1016/j.conbuildmat.2013.11.004, ,None,"Influence of short and long term aging on chemical, microstructural and macro-mechanical properties of recycled asphalt mixtures",Construction and Building Materials
10.1016/j.conbuildmat.2013.11.070, ,None,Effects of rice husk ash and fiber on mechanical properties of pervious concrete pavement,Construction and Building Materials
10.1016/j.conbuildmat.2010.04.064, ,None,Effect of nitrogen phosphorus flame retardants on thermal degradation of wood,Construction and Building Materials
10.1016/j.conbuildmat.2013.10.011, ,None,Influence of cement fineness and water-to-cement ratio on mortar early-age heat of hydration and set times,Construction and Building Materials
10.1016/j.conbuildmat.2013.09.022, ,None,Experimental study on Portland cement pervious concrete mechanical and hydrological properties,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.095, ,None,Experimental characterization of binary and ternary blended-cement concretes containing ultrafine residual rice husk and sugar cane bagasse ashes,Construction and Building Materials
10.1016/j.conbuildmat.2011.11.021, ,None,Utilization of Pakistani bentonite as partial replacement of cement in concrete,Construction and Building Materials
10.1016/j.conbuildmat.2012.04.061, ,None,Effect of thermal treatment on the retention of chemical elements in the structure of lightweight aggregates manufactured from contaminated mine soil and fly ash,Construction and Building Materials
10.1016/j.conbuildmat.2010.09.015, ,None,The influence of gypsum ratio on the mechanical performance of slag cement accelerated by calcium sulfoaluminate cement,Construction and Building Materials
10.1016/j.conbuildmat.2013.01.027, ,None,Effects of different polymers on mechanical properties of bituminous binders and hot mixtures,Construction and Building Materials
10.1016/j.conbuildmat.2011.06.083, ,None,Heat and moisture transfer through a steel stud gypsum board assembly exposed to fire,Construction and Building Materials
10.1016/j.conbuildmat.2011.08.031, ,None,A technique to dispose waste plastics in an ecofriendly way – Application in construction of flexible pavements,Construction and Building Materials
10.1016/j.conbuildmat.2012.08.009, ,None,Recycling of copper tailings as an additive in cement mortars,Construction and Building Materials
10.1016/j.conbuildmat.2014.09.022, ,None,Effect of chemical composition on rheology and mechanical properties of asphalt binder,Construction and Building Materials
